row status,DOCUMENTED STATUS,title,status,requested,image_link_url,image_link,image_link_title,reference_image_url,reference_image_title,video_link,topic,noun_project,team,description,body,social_tags,event
,,Food Donation drop off/location,Not started,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Food Justice,Has research,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Food Secure,Has research,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Grain,Not started,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Herbs,Not started,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Native Plant,Has research,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Regional Food System,Has research,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,School Lunch/2nd Chance Breakfast,Not started,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,SNAP (Supplemental Nutrition Assistance Program) - authorized store or market,Not started,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Street Food Vendor,Not started,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Vertical Farm,Has research,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Wholesale Market,Not started,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,"WIC (Special Supplemental Nutrition Program for Women, Infants and Children) - authorized store or market",Not started,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Beehive/Bee,Being Vectorized,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Farm,Being Vectorized,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Farm to School,Being Vectorized,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Food Bank/Pantry,Being Vectorized,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,School/Community Garden,Being Vectorized,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Urban Farm,Being Vectorized,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Fair Trade,Being Vectorized,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Guerilla Gardening,Being Vectorized,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
,,Rooftop Garden,Being Vectorized,y,,,,,,,Food & Nutrition,,,,,"iconathon, iconathonla, codeforamerica, nounproject, food, nutrition, food & nutrition",Iconathon Fall 2011: LA Food & Nutrition
